facility_id,name,source_type,address,lat,lng
mmg_1516,전주세계소리축제,myeongmunga_facility,"전북특별자치도전주시 덕진구소리로 31(덕진동1가, 한국소리문화의전당 국제회의장 1층 전주세계소리축제조직위원회)",35.855431,127.138716
mmg_1518,전주시공영주차장,myeongmunga_facility,"전북특별자치도전주시 완산구노송광장로 10(서노송동, 전주시청 교통안전과)",35.821265,127.145208
mmg_1520,전주신기독병원,myeongmunga_facility,전북특별자치도전주시 완산구거마평로 185(효자동1가),35.808672,127.115397
mmg_3945,전주컴퓨터학원,myeongmunga_facility,"전북특별자치도전주시 완산구난전들로 266(삼천동1가, 3층)",35.7921013,127.1171128
mmg_3777,정읍시 국민여가캠핑장,myeongmunga_facility,전북특별자치도정읍시내장산로 410(부전동),35.5249034,126.895104
mmg_3780,정읍시 산업단지 복합문화 센터,myeongmunga_facility,전북특별자치도정읍시첨단과학로 201(신정동),,
mmg_3776,정읍시 주차장,myeongmunga_facility,,,
mmg_3778,정읍시 청소년수련관,myeongmunga_facility,전북특별자치도정읍시정읍사로 547(시기동),,
mmg_3779,정읍시 체육시설,myeongmunga_facility,,,
mmg_3775,정읍시 칠보물테마유원지,myeongmunga_facility,전북특별자치도정읍시칠보면칠보산로 1555(칠보면무성리),35.6075434,126.9842099
mmg_3774,정읍시립미술관,myeongmunga_facility,전북특별자치도정읍시시기4길 7(시기동),35.5523539,126.8616064
mmg_3943,정컴퓨터학원,myeongmunga_facility,"전북특별자치도전주시 완산구거마평로 86(삼천동1가, 2층)",35.8000161,127.1170753
mmg_3936,제일컴퓨터학원,myeongmunga_facility,전북특별자치도남원시춘향로 24(도통동),35.417931,127.3978941
mmg_3934,젬컴퓨터학원,myeongmunga_facility,"전북특별자치도군산시백토로 144(나운동, 3층)",35.9663856,126.7054546
mmg_1572,천도장례식장,myeongmunga_facility,전북특별자치도익산시인북로 409(신동),35.96827,126.958595
mmg_2888,청담한방병원,myeongmunga_facility,전북특별자치도전주시 덕진구팔달로 377(금암동),35.8337,127.1362
mmg_3481,카티모 본점,myeongmunga_facility,전북특별자치도전주시 완산구아중로 65(중노송동),35.8231783,127.1573697
mmg_3500,카페로이,myeongmunga_facility,전북특별자치도전주시 덕진구견훤로 1561층 (인후동1가),35.8258891,127.1612589
mmg_2507,클로엔 성형외과,myeongmunga_facility,전북특별자치도완주군이서면기지로 47402호4층 (이서면갈산리),35.838682,127.057254
mmg_2506,클로엔여성/피부과,myeongmunga_facility,전북특별자치도완주군이서면기지로 47403호(이서면갈산리),35.838682,127.057254
